grup;vendor;nomor_kontainer;size;group;tanggal_awal;tanggal_akhir;periode;masa;tarif;dpp;dpp_nilai_lain;ppn;pph;grand_total;status;computed_periode
TK125010000167;ZONA;BMOU4013585;20;Z011;2025-01-22;2025-03-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;2
TK125010000168;ZONA;BMOU4013585;20;Z011;2025-01-22;2025-03-07;2;"22 februari 2025 - 7 maret 2025";Harian;315308;289032;34684;6306;343686;;2
TK125010000169;ZONA;ZONA1910749;20;Z011;2025-01-22;2025-04-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000170;ZONA;ZONA1910749;20;Z011;2025-01-22;2025-04-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000171;ZONA;ZONA1910749;20;Z011;2025-01-22;2025-04-07;3;"22 maret 2025 - 7 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000172;ZONA;ZONA8075928;20;Z011;2025-01-22;2025-03-19;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;2
TK125010000173;ZONA;ZONA8075928;20;Z011;2025-01-22;2025-03-19;2;"22 februari 2025 - 19 maret 2025";Harian;585572;536774;64413;11711;638273;;2
TK125010000174;ZONA;WHLU0323766;20;Z011;2025-01-22;2025-07-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000175;ZONA;WHLU0323766;20;Z011;2025-01-22;2025-07-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000176;ZONA;WHLU0323766;20;Z011;2025-01-22;2025-07-07;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000177;ZONA;WHLU0323766;20;Z011;2025-01-22;2025-07-07;4;"22 april 2025 - 21 mei 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000178;ZONA;WHLU0323766;20;Z011;2025-01-22;2025-07-07;5;"22 mei 2025 - 21 juni 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000179;ZONA;WHLU0323766;20;Z011;2025-01-22;2025-07-07;6;"22 juni 2025 - 7 juli 2025";Harian;360352;330323;39639;7207;392784;;6
TK125010000180;ZONA;BMOU4013060;20;Z011;2025-01-22;2025-03-19;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;2
TK125010000181;ZONA;BMOU4013060;20;Z011;2025-01-22;2025-03-19;2;"22 februari 2025 - 19 maret 2025";Harian;585572;536774;64413;11711;638273;;2
TK125010000182;ZONA;WHLU0319684;20;Z012;2025-01-23;2025-05-25;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000183;ZONA;WHLU0319684;20;Z012;2025-01-23;2025-05-25;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000184;ZONA;WHLU0319684;20;Z012;2025-01-23;2025-05-25;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000185;ZONA;WHLU0319684;20;Z012;2025-01-23;2025-05-25;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000186;ZONA;WHLU0319684;20;Z012;2025-01-23;2025-05-25;5;"23 mei 2025 - 25 mei 2025";Harian;67566;61936;7432;1351;73647;;5
TK125010000187;ZONA;WHLU0343593;20;Z012;2025-01-23;2025-04-08;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000188;ZONA;WHLU0343593;20;Z012;2025-01-23;2025-04-08;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000189;ZONA;WHLU0343593;20;Z012;2025-01-23;2025-04-08;3;"23 maret 2025 - 8 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000190;ZONA;WHLU0321315;20;Z012;2025-01-23;2025-06-01;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000191;ZONA;WHLU0321315;20;Z012;2025-01-23;2025-06-01;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000192;ZONA;WHLU0321315;20;Z012;2025-01-23;2025-06-01;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000193;ZONA;WHLU0321315;20;Z012;2025-01-23;2025-06-01;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000194;ZONA;WHLU0321315;20;Z012;2025-01-23;2025-06-01;5;"23 mei 2025 - 1 juni 2025";Harian;225220;206452;24774;4504;245490;;5
TK125010000195;ZONA;WHLU0322899;20;Z012;2025-01-23;2025-04-08;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000196;ZONA;WHLU0322899;20;Z012;2025-01-23;2025-04-08;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000197;ZONA;WHLU0322899;20;Z012;2025-01-23;2025-04-08;3;"23 maret 2025 - 8 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000198;ZONA;UGMU8580456;20;Z012;2025-01-23;2025-04-08;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000199;ZONA;UGMU8580456;20;Z012;2025-01-23;2025-04-08;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000200;ZONA;UGMU8580456;20;Z012;2025-01-23;2025-04-08;3;"23 maret 2025 - 8 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000201;ZONA;BMOU4153139;20;Z011;2025-01-22;2025-05-23;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000202;ZONA;BMOU4153139;20;Z011;2025-01-22;2025-05-23;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000203;ZONA;BMOU4153139;20;Z011;2025-01-22;2025-05-23;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000204;ZONA;BMOU4153139;20;Z011;2025-01-22;2025-05-23;4;"22 april 2025 - 21 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000205;ZONA;BMOU4153139;20;Z011;2025-01-22;2025-05-23;5;"22 mei 2025 - 23 mei 2025";Harian;45044;41290;4955;901;49098;;5
TK125010000206;ZONA;GLDU7252828;20;Z011;2025-01-22;2025-04-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000207;ZONA;GLDU7252828;20;Z011;2025-01-22;2025-04-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000208;ZONA;GLDU7252828;20;Z011;2025-01-22;2025-04-07;3;"22 maret 2025 - 7 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000209;ZONA;ZONA2807583;20;Z011;2025-01-22;2025-04-08;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000210;ZONA;ZONA2807583;20;Z011;2025-01-22;2025-04-08;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000211;ZONA;ZONA2807583;20;Z011;2025-01-22;2025-04-08;3;"22 maret 2025 - 8 april 2025";Harian;405396;371613;44594;8108;441882;;3
TK125010000212;ZONA;MOTU0745549;20;Z011;2025-01-22;2025-05-06;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000213;ZONA;MOTU0745549;20;Z011;2025-01-22;2025-05-06;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000214;ZONA;MOTU0745549;20;Z011;2025-01-22;2025-05-06;3;"22 maret 2025 - 21 april 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000215;ZONA;MOTU0745549;20;Z011;2025-01-22;2025-05-06;4;"22 april 2025 - 6 mei 2025";Harian;337830;309678;37161;6757;368235;;4
TK125010000216;ZONA;CCLU7119138;20;Z011;2025-01-22;2025-03-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;2
TK125010000217;ZONA;CCLU7119138;20;Z011;2025-01-22;2025-03-07;2;"22 februari 2025 - 7 maret 2025";Harian;315308;289032;34684;6306;343686;;2
TK125010000218;ZONA;PCIU9358763;20;Z011;2025-01-22;2025-04-07;1;"22 januari 2025 - 21 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000219;ZONA;PCIU9358763;20;Z011;2025-01-22;2025-04-07;2;"22 februari 2025 - 21 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000220;ZONA;PCIU9358763;20;Z011;2025-01-22;2025-04-07;3;"22 maret 2025 - 7 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000221;ZONA;CBHU5841917;20;Z012;2025-01-23;2025-05-24;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000222;ZONA;CBHU5841917;20;Z012;2025-01-23;2025-05-24;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000223;ZONA;CBHU5841917;20;Z012;2025-01-23;2025-05-24;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000224;ZONA;CBHU5841917;20;Z012;2025-01-23;2025-05-24;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000225;ZONA;CBHU5841917;20;Z012;2025-01-23;2025-05-24;5;"23 mei 2025 - 24 mei 2025";Harian;45044;41290;4955;901;49098;;5
TK125010000226;ZONA;EMCU6009872;20;Z012;2025-01-23;2025-04-08;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000227;ZONA;EMCU6009872;20;Z012;2025-01-23;2025-04-08;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000228;ZONA;EMCU6009872;20;Z012;2025-01-23;2025-04-08;3;"23 maret 2025 - 8 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000229;ZONA;WHLU0352189;20;Z012;2025-01-23;2025-05-31;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000230;ZONA;WHLU0352189;20;Z012;2025-01-23;2025-05-31;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000231;ZONA;WHLU0352189;20;Z012;2025-01-23;2025-05-31;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000232;ZONA;WHLU0352189;20;Z012;2025-01-23;2025-05-31;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000233;ZONA;WHLU0352189;20;Z012;2025-01-23;2025-05-31;5;"23 mei 2025 - 31 mei 2025";Harian;202698;185806;22297;4054;220941;;5
TK125010000234;ZONA;CAIU3184330;20;Z012;2025-01-23;2025-05-24;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000235;ZONA;CAIU3184330;20;Z012;2025-01-23;2025-05-24;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000236;ZONA;CAIU3184330;20;Z012;2025-01-23;2025-05-24;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000237;ZONA;CAIU3184330;20;Z012;2025-01-23;2025-05-24;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000238;ZONA;CAIU3184330;20;Z012;2025-01-23;2025-05-24;5;"23 mei 2025 - 24 mei 2025";Harian;45044;41290;4955;901;49098;;5
TK125010000239;ZONA;EMCU6063235;20;Z012;2025-01-23;2025-06-14;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000240;ZONA;EMCU6063235;20;Z012;2025-01-23;2025-06-14;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000241;ZONA;EMCU6063235;20;Z012;2025-01-23;2025-06-14;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000242;ZONA;EMCU6063235;20;Z012;2025-01-23;2025-06-14;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000243;ZONA;EMCU6063235;20;Z012;2025-01-23;2025-06-14;5;"23 mei 2025 - 14 juni 2025";Harian;518006;474839;56981;10360;564627;;5
TK125010000244;ZONA;WHLU0300903;20;Z012;2025-01-23;2025-06-21;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000245;ZONA;WHLU0300903;20;Z012;2025-01-23;2025-06-21;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000246;ZONA;WHLU0300903;20;Z012;2025-01-23;2025-06-21;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000247;ZONA;WHLU0300903;20;Z012;2025-01-23;2025-06-21;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000248;ZONA;WHLU0300903;20;Z012;2025-01-23;2025-06-21;5;"23 mei 2025 - 21 juni 2025";Harian;675660;619355;74323;13513;736469;;5
TK125010000249;ZONA;WFHU1240962;20;Z012;2025-01-23;2025-05-25;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000250;ZONA;WFHU1240962;20;Z012;2025-01-23;2025-05-25;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000251;ZONA;WFHU1240962;20;Z012;2025-01-23;2025-05-25;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000252;ZONA;WFHU1240962;20;Z012;2025-01-23;2025-05-25;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000253;ZONA;WFHU1240962;20;Z012;2025-01-23;2025-05-25;5;"23 mei 2025 - 25 mei 2025";Harian;67566;61936;7432;1351;73647;;5
TK125010000254;ZONA;WHLU0268015;20;Z012;2025-01-23;2025-06-03;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000255;ZONA;WHLU0268015;20;Z012;2025-01-23;2025-06-03;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000256;ZONA;WHLU0268015;20;Z012;2025-01-23;2025-06-03;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000257;ZONA;WHLU0268015;20;Z012;2025-01-23;2025-06-03;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000258;ZONA;WHLU0268015;20;Z012;2025-01-23;2025-06-03;5;"23 mei 2025 - 3 juni 2025";Harian;270264;247742;29729;5405;294588;;5
TK125010000259;ZONA;EMCU6045503;20;Z012;2025-01-23;2025-04-07;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000260;ZONA;EMCU6045503;20;Z012;2025-01-23;2025-04-07;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000261;ZONA;EMCU6045503;20;Z012;2025-01-23;2025-04-07;3;"23 maret 2025 - 7 april 2025";Harian;360352;330323;39639;7207;392784;;3
TK125010000262;ZONA;EISU3944703;20;Z012;2025-01-23;2025-06-14;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000263;ZONA;EISU3944703;20;Z012;2025-01-23;2025-06-14;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000264;ZONA;EISU3944703;20;Z012;2025-01-23;2025-06-14;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000265;ZONA;EISU3944703;20;Z012;2025-01-23;2025-06-14;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000266;ZONA;EISU3944703;20;Z012;2025-01-23;2025-06-14;5;"23 mei 2025 - 14 juni 2025";Harian;518006;474839;56981;10360;564627;;5
TK125010000267;ZONA;EMCU6006826;20;Z012;2025-01-23;2025-04-08;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000268;ZONA;EMCU6006826;20;Z012;2025-01-23;2025-04-08;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000269;ZONA;EMCU6006826;20;Z012;2025-01-23;2025-04-08;3;"23 maret 2025 - 8 april 2025";Harian;382874;350968;42116;7657;417333;;3
TK125010000270;ZONA;WHLU0273177;20;Z012;2025-01-23;2025-04-07;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000271;ZONA;WHLU0273177;20;Z012;2025-01-23;2025-04-07;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000272;ZONA;WHLU0273177;20;Z012;2025-01-23;2025-04-07;3;"23 maret 2025 - 7 april 2025";Harian;360352;330323;39639;7207;392784;;3
TK125010000273;ZONA;WHLU0215910;20;Z012;2025-01-23;2025-07-07;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000274;ZONA;WHLU0215910;20;Z012;2025-01-23;2025-07-07;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000275;ZONA;WHLU0215910;20;Z012;2025-01-23;2025-07-07;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000276;ZONA;WHLU0215910;20;Z012;2025-01-23;2025-07-07;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000277;ZONA;WHLU0215910;20;Z012;2025-01-23;2025-07-07;5;"23 mei 2025 - 22 juni 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000278;ZONA;WHLU0215910;20;Z012;2025-01-23;2025-07-07;6;"23 juni 2025 - 7 juli 2025";Harian;337830;309678;37161;6757;368235;;6
TK125010000279;ZONA;EGSU3109943;20;Z012;2025-01-23;2025-06-17;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000280;ZONA;EGSU3109943;20;Z012;2025-01-23;2025-06-17;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000281;ZONA;EGSU3109943;20;Z012;2025-01-23;2025-06-17;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000282;ZONA;EGSU3109943;20;Z012;2025-01-23;2025-06-17;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000283;ZONA;EGSU3109943;20;Z012;2025-01-23;2025-06-17;5;"23 mei 2025 - 17 juni 2025";Harian;585572;536774;64413;11711;638273;;5
TK125010000284;ZONA;BMOU2474612;20;Z012;2025-01-23;2025-07-02;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000285;ZONA;BMOU2474612;20;Z012;2025-01-23;2025-07-02;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000286;ZONA;BMOU2474612;20;Z012;2025-01-23;2025-07-02;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000287;ZONA;BMOU2474612;20;Z012;2025-01-23;2025-07-02;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000288;ZONA;BMOU2474612;20;Z012;2025-01-23;2025-07-02;5;"23 mei 2025 - 22 juni 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000289;ZONA;BMOU2474612;20;Z012;2025-01-23;2025-07-02;6;"23 juni 2025 - 2 juli 2025";Harian;225220;206452;24774;4504;245490;;6
TK125010000290;ZONA;WHLU0330050;20;Z012;2025-01-23;2025-04-07;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000291;ZONA;WHLU0330050;20;Z012;2025-01-23;2025-04-07;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000292;ZONA;WHLU0330050;20;Z012;2025-01-23;2025-04-07;3;"23 maret 2025 - 7 april 2025";Harian;360352;330323;39639;7207;392784;;3
TK125010000293;ZONA;BSIU2946381;20;Z012;2025-01-23;2025-07-17;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000294;ZONA;BSIU2946381;20;Z012;2025-01-23;2025-07-17;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000295;ZONA;BSIU2946381;20;Z012;2025-01-23;2025-07-17;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000296;ZONA;BSIU2946381;20;Z012;2025-01-23;2025-07-17;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000297;ZONA;BSIU2946381;20;Z012;2025-01-23;2025-07-17;5;"23 mei 2025 - 22 juni 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000298;ZONA;BSIU2946381;20;Z012;2025-01-23;2025-07-17;6;"23 juni 2025 - 17 juli 2025";Harian;563050;516129;61936;11261;613724;;6
TK125010000299;ZONA;EISU2194517;20;Z012;2025-01-23;2025-06-13;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000300;ZONA;EISU2194517;20;Z012;2025-01-23;2025-06-13;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000301;ZONA;EISU2194517;20;Z012;2025-01-23;2025-06-13;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000302;ZONA;EISU2194517;20;Z012;2025-01-23;2025-06-13;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000303;ZONA;EISU2194517;20;Z012;2025-01-23;2025-06-13;5;"23 mei 2025 - 13 juni 2025";Harian;495484;454194;54503;9910;540078;;5
TK125010000304;ZONA;EISU2254616;20;Z012;2025-01-23;2025-06-01;1;"23 januari 2025 - 22 februari 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000305;ZONA;EISU2254616;20;Z012;2025-01-23;2025-06-01;2;"23 februari 2025 - 22 maret 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000306;ZONA;EISU2254616;20;Z012;2025-01-23;2025-06-01;3;"23 maret 2025 - 22 april 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000307;ZONA;EISU2254616;20;Z012;2025-01-23;2025-06-01;4;"23 april 2025 - 22 mei 2025";Bulanan;675676;619370;74324;13514;736487;;5
TK125010000308;ZONA;EISU2254616;20;Z012;2025-01-23;2025-06-01;5;"23 mei 2025 - 1 juni 2025";Harian;225220;206452;24774;4504;245490;;5
TK125010000309;ZONA;BMOU2383868;20;Z013;2025-01-24;2025-04-07;1;"24 januari 2025 - 23 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000310;ZONA;BMOU2383868;20;Z013;2025-01-24;2025-04-07;2;"24 februari 2025 - 23 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000311;ZONA;BMOU2383868;20;Z013;2025-01-24;2025-04-07;3;"24 maret 2025 - 7 april 2025";Harian;337830;309678;37161;6757;368235;;3
TK125010000312;ZONA;EMCU6038844;20;Z013;2025-01-24;2025-07-21;1;"24 januari 2025 - 23 februari 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000313;ZONA;EMCU6038844;20;Z013;2025-01-24;2025-07-21;2;"24 februari 2025 - 23 maret 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000314;ZONA;EMCU6038844;20;Z013;2025-01-24;2025-07-21;3;"24 maret 2025 - 23 april 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000315;ZONA;EMCU6038844;20;Z013;2025-01-24;2025-07-21;4;"24 april 2025 - 23 mei 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000316;ZONA;EMCU6038844;20;Z013;2025-01-24;2025-07-21;5;"24 mei 2025 - 23 juni 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000317;ZONA;EMCU6038844;20;Z013;2025-01-24;2025-07-21;6;"24 juni 2025 - 21 juli 2025";Harian;630616;578065;69368;12612;687371;;6
TK125010000318;ZONA;ZONA2207201;20;Z013;2025-01-24;2025-05-20;1;"24 januari 2025 - 23 februari 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000319;ZONA;ZONA2207201;20;Z013;2025-01-24;2025-05-20;2;"24 februari 2025 - 23 maret 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000320;ZONA;ZONA2207201;20;Z013;2025-01-24;2025-05-20;3;"24 maret 2025 - 23 april 2025";Bulanan;675676;619370;74324;13514;736487;;4
TK125010000321;ZONA;ZONA2207201;20;Z013;2025-01-24;2025-05-20;4;"24 april 2025 - 20 mei 2025";Harian;608094;557420;66890;12162;662822;;4
TK125010000322;ZONA;BMOU2470200;20;Z013;2025-01-24;2025-04-08;1;"24 januari 2025 - 23 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000323;ZONA;BMOU2470200;20;Z013;2025-01-24;2025-04-08;2;"24 februari 2025 - 23 maret 2025";Bulanan;675676;619370;74324;13514;736487;;3
TK125010000324;ZONA;BMOU2470200;20;Z013;2025-01-24;2025-04-08;3;"24 maret 2025 - 8 april 2025";Harian;360352;330323;39639;7207;392784;;3
TK125010000325;ZONA;GVCU2190099;20;Z013;2025-01-24;2025-07-09;1;"24 januari 2025 - 23 februari 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000326;ZONA;GVCU2190099;20;Z013;2025-01-24;2025-07-09;2;"24 februari 2025 - 23 maret 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000327;ZONA;GVCU2190099;20;Z013;2025-01-24;2025-07-09;3;"24 maret 2025 - 23 april 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000328;ZONA;GVCU2190099;20;Z013;2025-01-24;2025-07-09;4;"24 april 2025 - 23 mei 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000329;ZONA;GVCU2190099;20;Z013;2025-01-24;2025-07-09;5;"24 mei 2025 - 23 juni 2025";Bulanan;675676;619370;74324;13514;736487;;6
TK125010000330;ZONA;GVCU2190099;20;Z013;2025-01-24;2025-07-09;6;"24 juni 2025 - 9 juli 2025";Harian;360352;330323;39639;7207;392784;;6
TK125010000331;ZONA;ZONA2211855;20;Z013;2025-01-24;2025-04-07;1;"24 januari 2025 - 23 februari 2025";Bulanan;675676;619370;74324;13514;736487;;3
