KONTAINER;PERIODE;AWAL;AKHIR; TAGIHAN ;NoTagihan;Tgl. Tagihan;No. Bayar;Tgl. Bayar;;;;;Impor;Pranota;Bayar
GATU8503607;1;08 Jan 24;07 Feb 24; 1.261.261,00 ;ZONA240122254;11 Jan 24;EBK240500055;21 May 24;;;;;"GATU8503607;1;45299;45329;1261261;ZONA240122254;45302";"ZONA240122254;45302;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GATU8503607;1;28 Feb 25;27 Mar 25; 1.261.261,00 ;ZONA250528169;16 May 25;EBK250600289;26 Jun 25;;;;;"GATU8503607;1;45716;45743;1261261;ZONA250528169;45793";"ZONA250528169;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GATU8503607;10;08 Oct 24;07 Nov 24; 1.261.261,00 ;ZONA241125956;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GATU8503607;10;45573;45603;1261261;ZONA241125956;45616";"ZONA241125956;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GATU8503607;11;08 Nov 24;06 Dec 24; 1.219.219,00 ;ZONA241226543;28 Dec 24;EBK250100275;30 Jan 25;;;;;"GATU8503607;11;45604;45632;1219219;ZONA241226543;45654";"ZONA241226543;45654;SKT2501000001;45687;1219219";"SKT2501000001;45687;EBK250100275;45687;1219219"
GATU8503607;2;08 Feb 24;07 Mar 24; 1.261.261,00 ;ZONA240322927;20 Mar 24;EBK240500055;21 May 24;;;;;"GATU8503607;2;45330;45358;1261261;ZONA240322927;45371";"ZONA240322927;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GATU8503607;3;28 Apr 25;27 May 25; 1.261.261,00 ;ZONA250528171;16 May 25;EBK250600289;26 Jun 25;;;;;"GATU8503607;3;45775;45804;1261261;ZONA250528171;45793";"ZONA250528171;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GATU8503607;4;08 Apr 24;07 May 24; 1.261.261,00 ;ZONA240523407;03 May 24;EBK240500209;20 May 24;;;;;"GATU8503607;4;45390;45419;1261261;ZONA240523407;45415";"ZONA240523407;45415;SKT2405000001;45432;1261261";"SKT2405000001;45432;EBK240500209;45432;1261261"
GATU8503607;5;08 May 24;07 Jun 24; 1.261.261,00 ;ZONA240824862;29 Sep 24;EBK250100275;30 Jan 25;;;;;"GATU8503607;5;45420;45450;1261261;ZONA240824862;45564";"ZONA240824862;45564;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GATU8503607;6;08 Jun 24;07 Jul 24; 1.261.261,00 ;ZONA240824863;29 Aug 24;EBK250100275;30 Jan 25;;;;;"GATU8503607;6;45451;45480;1261261;ZONA240824863;45533";"ZONA240824863;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GATU8503607;7;08 Jul 24;07 Aug 24; 1.261.261,00 ;ZONA240824864;29 Aug 24;EBK250100275;30 Jan 25;;;;;"GATU8503607;7;45481;45511;1261261;ZONA240824864;45533";"ZONA240824864;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GATU8503607;8;08 Aug 24;07 Sep 24; 1.261.261,00 ;ZONA240824865;29 Aug 24;EBK250100275;30 Jan 25;;;;;"GATU8503607;8;45512;45542;1261261;ZONA240824865;45533";"ZONA240824865;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GATU8503607;9;08 Sep 24;07 Oct 24; 1.261.261,00 ;ZONA241125955;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GATU8503607;9;45543;45572;1261261;ZONA241125955;45616";"ZONA241125955;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU1048600;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"GESU1048600;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GESU1145322;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"GESU1145322;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GESU1415053;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"GESU1415053;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GESU1426103;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"GESU1426103;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GESU2832175;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"GESU2832175;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GESU3057370;2;12 Apr 25;11 May 25; 675.676,00 ;ZONA250528235;21 May 25;EBK250600289;26 Jun 25;;;;;"GESU3057370;2;45759;45788;675676;ZONA250528235;45798";"ZONA250528235;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GESU4689335;1;16 Jan 24;15 Feb 24; 1.261.261,00 ;ZONA240122412;23 Jan 24;EBK240500055;21 May 24;;;;;"GESU4689335;1;45307;45337;1261261;ZONA240122412;45314";"ZONA240122412;45314;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4689335;2;16 Feb 24;15 Mar 24; 1.261.261,00 ;ZONA240322930;20 Mar 24;EBK240500055;21 May 24;;;;;"GESU4689335;2;45338;45366;1261261;ZONA240322930;45371";"ZONA240322930;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4735831;1;16 Jan 24;15 Feb 24; 1.261.261,00 ;ZONA240122412;23 Jan 24;EBK240500055;21 May 24;;;;;"GESU4735831;1;45307;45337;1261261;ZONA240122412;45314";"ZONA240122412;45314;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4735831;10;16 Oct 24;15 Nov 24; 1.261.261,00 ;ZONA241125968;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GESU4735831;10;45581;45611;1261261;ZONA241125968;45616";"ZONA241125968;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4735831;11;16 Nov 24;03 Dec 24; 756.757,00 ;ZONA241226553;28 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU4735831;11;45612;45629;756757;ZONA241226553;45654";"ZONA241226553;45654;SKT2501000001;45687;756757";"SKT2501000001;45687;EBK250100275;45687;756757"
GESU4735831;2;16 Feb 24;15 Mar 24; 1.261.261,00 ;ZONA240322930;20 Mar 24;EBK240500055;21 May 24;;;;;"GESU4735831;2;45338;45366;1261261;ZONA240322930;45371";"ZONA240322930;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4735831;5;16 May 24;15 Jun 24; 1.261.261,00 ;ZONA240924885;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4735831;5;45428;45458;1261261;ZONA240924885;45537";"ZONA240924885;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4735831;6;16 Jun 24;15 Jul 24; 1.261.261,00 ;ZONA240924886;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4735831;6;45459;45488;1261261;ZONA240924886;45537";"ZONA240924886;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4735831;7;16 Jul 24;15 Aug 24; 1.261.261,00 ;ZONA240924887;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4735831;7;45489;45519;1261261;ZONA240924887;45537";"ZONA240924887;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4735831;8;16 Aug 24;15 Sep 24; 1.261.261,00 ;ZONA240924888;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4735831;8;45520;45550;1261261;ZONA240924888;45537";"ZONA240924888;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4735831;9;16 Sep 24;15 Oct 24; 1.261.261,00 ;ZONA241125967;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GESU4735831;9;45551;45580;1261261;ZONA241125967;45616";"ZONA241125967;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4838932;1;15 Jan 24;14 Feb 24; 1.261.261,00 ;ZONA240122360;18 Jan 24;EBK240500055;21 May 24;;;;;"GESU4838932;1;45306;45336;1261261;ZONA240122360;45309";"ZONA240122360;45309;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4838932;10;15 Oct 24;14 Nov 24; 1.261.261,00 ;ZONA241125964;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GESU4838932;10;45580;45610;1261261;ZONA241125964;45616";"ZONA241125964;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4838932;2;15 Feb 24;14 Mar 24; 1.261.261,00 ;ZONA240222624;19 Feb 24;EBK240500055;21 May 24;;;;;"GESU4838932;2;45337;45365;1261261;ZONA240222624;45341";"ZONA240222624;45341;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4838932;5;15 May 24;14 Jun 24; 1.261.261,00 ;ZONA240924877;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4838932;5;45427;45457;1261261;ZONA240924877;45537";"ZONA240924877;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4838932;6;15 Jun 24;14 Jul 24; 1.261.261,00 ;ZONA240924878;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4838932;6;45458;45487;1261261;ZONA240924878;45537";"ZONA240924878;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4838932;7;15 Jul 24;14 Aug 24; 1.261.261,00 ;ZONA240924879;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4838932;7;45488;45518;1261261;ZONA240924879;45537";"ZONA240924879;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4838932;8;15 Aug 24;14 Sep 24; 1.261.261,00 ;ZONA240924880;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4838932;8;45519;45549;1261261;ZONA240924880;45537";"ZONA240924880;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4838932;9;15 Sep 24;14 Oct 24; 1.261.261,00 ;ZONA241125963;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GESU4838932;9;45550;45579;1261261;ZONA241125963;45616";"ZONA241125963;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4896815;1;16 Jan 24;15 Feb 24; 1.261.261,00 ;ZONA240122412;23 Jan 24;EBK240500055;21 May 24;;;;;"GESU4896815;1;45307;45337;1261261;ZONA240122412;45314";"ZONA240122412;45314;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4896815;10;16 Oct 24;15 Nov 24; 1.261.261,00 ;ZONA241125968;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GESU4896815;10;45581;45611;1261261;ZONA241125968;45616";"ZONA241125968;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4896815;11;16 Nov 24;15 Dec 24; 1.261.261,00 ;ZONA241226553;28 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU4896815;11;45612;45641;1261261;ZONA241226553;45654";"ZONA241226553;45654;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4896815;12;16 Dec 24;20 Dec 24; 210.210,00 ;ZONA241226554;30 Apr 25;EBK250600289;26 Jun 25;;;;;"GESU4896815;12;45642;45646;210210;ZONA241226554;45777";"ZONA241226554;45777;SKT2506000001;45834;210210";"SKT2506000001;45834;EBK250600289;45834;210210"
GESU4896815;2;16 Feb 24;15 Mar 24; 1.261.261,00 ;ZONA240322930;20 Mar 24;EBK240500055;21 May 24;;;;;"GESU4896815;2;45338;45366;1261261;ZONA240322930;45371";"ZONA240322930;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
GESU4896815;5;16 May 24;15 Jun 24; 1.261.261,00 ;ZONA240924885;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4896815;5;45428;45458;1261261;ZONA240924885;45537";"ZONA240924885;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4896815;6;16 Jun 24;15 Jul 24; 1.261.261,00 ;ZONA240924886;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4896815;6;45459;45488;1261261;ZONA240924886;45537";"ZONA240924886;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4896815;7;16 Jul 24;15 Aug 24; 1.261.261,00 ;ZONA240924887;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4896815;7;45489;45519;1261261;ZONA240924887;45537";"ZONA240924887;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4896815;8;16 Aug 24;15 Sep 24; 1.261.261,00 ;ZONA240924888;02 Sep 24;EBK250100275;30 Jan 25;;;;;"GESU4896815;8;45520;45550;1261261;ZONA240924888;45537";"ZONA240924888;45537;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU4896815;9;16 Sep 24;15 Oct 24; 1.261.261,00 ;ZONA241125967;20 Nov 24;EBK250100275;30 Jan 25;;;;;"GESU4896815;9;45551;45580;1261261;ZONA241125967;45616";"ZONA241125967;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;10;08 Dec 24;07 Jan 25; 1.261.261,00 ;ZONA241226578;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;10;45634;45664;1261261;ZONA241226578;45657";"ZONA241226578;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;11;08 Jan 25;07 Feb 25; 1.261.261,00 ;ZONA250427889;29 Apr 25;EBK250600289;26 Jun 25;;;;;"GESU5114504;11;45665;45695;1261261;ZONA250427889;45776";"ZONA250427889;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GESU5114504;12;08 Feb 25;07 Mar 25; 1.261.261,00 ;ZONA250427890;29 Apr 25;EBK250600289;26 Jun 25;;;;;"GESU5114504;12;45696;45723;1261261;ZONA250427890;45776";"ZONA250427890;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GESU5114504;14;08 Apr 25;07 May 25; 1.261.261,00 ;ZONA250427892;29 Apr 25;EBK250600289;26 Jun 25;;;;;"GESU5114504;14;45755;45784;1261261;ZONA250427892;45776";"ZONA250427892;45776;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GESU5114504;2;08 Apr 24;07 May 24; 1.261.261,00 ;ZONA241226570;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;2;45390;45419;1261261;ZONA241226570;45657";"ZONA241226570;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;3;08 May 24;07 Jun 24; 1.261.261,00 ;ZONA241226571;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;3;45420;45450;1261261;ZONA241226571;45657";"ZONA241226571;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;4;08 Jun 24;07 Jul 24; 1.261.261,00 ;ZONA241226572;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;4;45451;45480;1261261;ZONA241226572;45657";"ZONA241226572;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;5;08 Jul 24;07 Aug 24; 1.261.261,00 ;ZONA241226573;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;5;45481;45511;1261261;ZONA241226573;45657";"ZONA241226573;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;6;08 Aug 24;07 Sep 24; 1.261.261,00 ;ZONA241226574;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;6;45512;45542;1261261;ZONA241226574;45657";"ZONA241226574;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;7;08 Sep 24;07 Oct 24; 1.261.261,00 ;ZONA241226575;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;7;45543;45572;1261261;ZONA241226575;45657";"ZONA241226575;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;8;08 Oct 24;07 Nov 24; 1.261.261,00 ;ZONA241226576;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;8;45573;45603;1261261;ZONA241226576;45657";"ZONA241226576;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5114504;9;08 Nov 24;07 Dec 24; 1.261.261,00 ;ZONA241226577;31 Dec 24;EBK250100275;30 Jan 25;;;;;"GESU5114504;9;45604;45633;1261261;ZONA241226577;45657";"ZONA241226577;45657;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
GESU5508370;1;24 Feb 25;23 Mar 25; 1.261.261,00 ;ZONA250528163;16 May 25;EBK250600289;26 Jun 25;;;;;"GESU5508370;1;45712;45739;1261261;ZONA250528163;45793";"ZONA250528163;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GESU5508370;3;24 Apr 25;23 May 25; 1.261.261,00 ;ZONA250528165;16 May 25;EBK250600289;26 Jun 25;;;;;"GESU5508370;3;45771;45800;1261261;ZONA250528165;45793";"ZONA250528165;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GLDU5758437;2;12 Apr 25;11 May 25; 675.676,00 ;ZONA250528235;21 May 25;EBK250600289;26 Jun 25;;;;;"GLDU5758437;2;45759;45788;675676;ZONA250528235;45798";"ZONA250528235;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GLDU7503878;2;13 Apr 25;12 May 25; 1.261.261,00 ;ZONA250528237;21 May 25;EBK250600289;26 Jun 25;;;;;"GLDU7503878;2;45760;45789;1261261;ZONA250528237;45798";"ZONA250528237;45798;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GLDU7620051;2;21 Apr 25;20 May 25; 1.261.261,00 ;ZONA250528249;21 May 25;EBK250600289;26 Jun 25;;;;;"GLDU7620051;2;45768;45797;1261261;ZONA250528249;45798";"ZONA250528249;45798;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
GLDU9368735;2;12 Apr 25;11 May 25; 675.676,00 ;ZONA250528235;21 May 25;EBK250600289;26 Jun 25;;;;;"GLDU9368735;2;45759;45788;675676;ZONA250528235;45798";"ZONA250528235;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GLDU9566155;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"GLDU9566155;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
GLDU9708500;1;22 Apr 25;21 May 25; 675.676,00 ;ZONA250528251;21 May 25;EBK250600289;26 Jun 25;;;;;"GLDU9708500;1;45769;45798;675676;ZONA250528251;45798";"ZONA250528251;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
HCIU2104496;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"HCIU2104496;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
HJMU1531909;2;20 Apr 25;19 May 25; 1.261.261,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"HJMU1531909;2;45767;45796;1261261;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
HMCU3062032;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"HMCU3062032;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
IFLU2990380;2;11 Apr 25;10 May 25; 675.676,00 ;ZONA250528124;21 May 25;EBK250600289;26 Jun 25;;;;;"IFLU2990380;2;45758;45787;675676;ZONA250528124;45798";"ZONA250528124;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
INBU3895064;1;24 Apr 25;23 May 25; 675.676,00 ;ZONA250528253;21 May 25;EBK250600289;26 Jun 25;;;;;"INBU3895064;1;45771;45800;675676;ZONA250528253;45798";"ZONA250528253;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
INKU6744298;1;25 Feb 25;24 Mar 25; 1.261.261,00 ;ZONA250528166;16 May 25;EBK250600289;26 Jun 25;;;;;"INKU6744298;1;45713;45740;1261261;ZONA250528166;45793";"ZONA250528166;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
INKU6744298;2;05 Aug 24;04 Sep 24; 1.261.261,00 ;ZONA240824860;29 Aug 24;EBK250100275;30 Jan 25;;;;;"INKU6744298;2;45509;45539;1261261;ZONA240824860;45533";"ZONA240824860;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
INKU6744298;3;05 Sep 24;04 Oct 24; 1.261.261,00 ;ZONA241125951;20 Nov 24;EBK250100275;30 Jan 25;;;;;"INKU6744298;3;45540;45569;1261261;ZONA241125951;45616";"ZONA241125951;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
INKU6744298;3;25 Apr 25;24 May 25; 1.261.261,00 ;ZONA250528168;16 May 25;EBK250600289;26 Jun 25;;;;;"INKU6744298;3;45772;45801;1261261;ZONA250528168;45793";"ZONA250528168;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
INKU6744298;4;05 Oct 24;04 Nov 24; 1.261.261,00 ;ZONA241125952;20 Nov 24;EBK250100275;30 Jan 25;;;;;"INKU6744298;4;45570;45600;1261261;ZONA241125952;45616";"ZONA241125952;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
INKU6744298;5;05 Nov 24;04 Dec 24; 1.261.261,00 ;ZONA241226539;28 Dec 24;EBK250100275;30 Jan 25;;;;;"INKU6744298;5;45601;45630;1261261;ZONA241226539;45654";"ZONA241226539;45654;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
IPXU2161093;1;23 Apr 25;22 May 25; 675.676,00 ;ZONA250528252;21 May 25;EBK250600289;26 Jun 25;;;;;"IPXU2161093;1;45770;45799;675676;ZONA250528252;45798";"ZONA250528252;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
IPXU3338970;1;22 Apr 25;21 May 25; 675.676,00 ;ZONA250528251;21 May 25;EBK250600289;26 Jun 25;;;;;"IPXU3338970;1;45769;45798;675676;ZONA250528251;45798";"ZONA250528251;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KCSU2166361;2;20 Apr 25;19 May 25; 675.676,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"KCSU2166361;2;45767;45796;675676;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KDCU2166612;2;20 Apr 25;19 May 25; 675.676,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"KDCU2166612;2;45767;45796;675676;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KDCU2170612;2;20 Apr 25;19 May 25; 675.676,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"KDCU2170612;2;45767;45796;675676;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KDCU2170675;2;20 Apr 25;19 May 25; 675.676,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"KDCU2170675;2;45767;45796;675676;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KDCU2171162;2;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528249;21 May 25;EBK250600289;26 Jun 25;;;;;"KDCU2171162;2;45768;45797;675676;ZONA250528249;45798";"ZONA250528249;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KDCU2171202;2;20 Apr 25;19 May 25; 675.676,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"KDCU2171202;2;45767;45796;675676;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KDCU2171964;2;20 Apr 25;19 May 25; 675.676,00 ;ZONA250528247;21 May 25;EBK250600289;26 Jun 25;;;;;"KDCU2171964;2;45767;45796;675676;ZONA250528247;45798";"ZONA250528247;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KDCU2172256;2;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528249;21 May 25;EBK250600289;26 Jun 25;;;;;"KDCU2172256;2;45768;45797;675676;ZONA250528249;45798";"ZONA250528249;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
KKFU7120388;1;21 Feb 25;20 Mar 25; 1.261.261,00 ;ZONA250528157;16 May 25;EBK250600289;26 Jun 25;;;;;"KKFU7120388;1;45709;45736;1261261;ZONA250528157;45793";"ZONA250528157;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
KKFU7120388;3;21 Apr 25;20 May 25; 1.261.261,00 ;ZONA250528159;16 May 25;EBK250600289;26 Jun 25;;;;;"KKFU7120388;3;45768;45797;1261261;ZONA250528159;45793";"ZONA250528159;45793;SKT2506000001;45834;1261261";"SKT2506000001;45834;EBK250600289;45834;1261261"
